# SampleRate: 250
# Created: 2026-06-09T14:44:43
Time,CH1,CH2,Marker,Valence,Arousal,TaskLabel
0.0000,-1.66,-0.98,,0.0,0.0,Normal
0.0040,-0.36,-5.57,,0.0,0.0,Normal
0.0080,-2.47,-7.49,,0.0,0.0,Normal
0.0120,-6.60,-6.65,,0.0,0.0,Normal
0.0160,-7.11,-4.23,,0.0,0.0,Normal
0.0200,-3.52,-2.13,,0.0,0.0,Normal
0.0240,-2.07,-2.37,,0.0,0.0,Normal
0.0280,-2.81,-3.23,,0.0,0.0,Normal
0.0320,-1.61,-0.54,,0.0,0.0,Normal
0.0360,2.04,2.92,,0.0,0.0,Normal
0.0400,6.04,3.16,,0.0,0.0,Normal
0.0440,8.25,1.34,,0.0,0.0,Normal
0.0480,7.17,0.66,,0.0,0.0,Normal
0.0520,3.13,3.90,,0.0,0.0,Normal
0.0560,-0.19,5.86,,0.0,0.0,Normal
0.0600,-0.39,2.60,,0.0,0.0,Normal
0.0640,1.05,-0.09,,0.0,0.0,Normal
0.0680,1.50,0.80,,0.0,0.0,Normal
0.0720,0.13,3.45,,0.0,0.0,Normal
0.0760,-0.70,4.10,,0.0,0.0,Normal
0.0800,0.63,1.75,,0.0,0.0,Normal
0.0840,3.34,0.31,,0.0,0.0,Normal
0.0880,4.06,1.51,,0.0,0.0,Normal
0.0920,1.04,4.60,,0.0,0.0,Normal
0.0960,0.47,5.97,,0.0,0.0,Normal
0.1000,5.00,3.57,,0.0,0.0,Normal
0.1040,8.29,0.85,,0.0,0.0,Normal
0.1080,6.01,0.02,,0.0,0.0,Normal
0.1120,0.25,0.76,,0.0,0.0,Normal
0.1160,-1.54,1.67,,0.0,0.0,Normal
0.1200,2.54,1.74,,0.0,0.0,Normal
0.1240,4.84,0.24,,0.0,0.0,Normal
0.1280,2.73,-0.90,,0.0,0.0,Normal
0.1320,1.24,2.86,,0.0,0.0,Normal
0.1360,2.98,6.77,,0.0,0.0,Normal
0.1400,5.39,5.71,,0.0,0.0,Normal
0.1440,7.27,4.70,,0.0,0.0,Normal
0.1480,8.23,5.97,,0.0,0.0,Normal
0.1520,6.42,8.04,,0.0,0.0,Normal
