# SampleRate: 250
# Created: 2026-06-09T14:40:03
Time,CH1,CH2,Marker,Valence,Arousal,TaskLabel
0.0000,0.51,-1.42,,0.0,0.0,Normal
0.0040,2.90,2.10,,0.0,0.0,Normal
0.0080,5.25,1.96,,0.0,0.0,Normal
0.0120,6.60,-2.07,,0.0,0.0,Normal
0.0160,6.72,-4.48,,0.0,0.0,Normal
0.0200,4.20,-4.63,,0.0,0.0,Normal
0.0240,4.41,-3.32,,0.0,0.0,Normal
0.0280,8.02,-1.72,,0.0,0.0,Normal
0.0320,9.32,-0.36,,0.0,0.0,Normal
0.0360,9.53,1.94,,0.0,0.0,Normal
0.0400,8.78,4.35,,0.0,0.0,Normal
0.0440,6.69,3.90,,0.0,0.0,Normal
0.0480,7.00,2.27,,0.0,0.0,Normal
0.0520,8.28,2.86,,0.0,0.0,Normal
0.0560,8.36,4.61,,0.0,0.0,Normal
0.0600,7.57,6.64,,0.0,0.0,Normal
0.0640,6.71,7.99,,0.0,0.0,Normal
0.0680,8.27,7.77,,0.0,0.0,Normal
0.0720,10.65,6.83,,0.0,0.0,Normal
0.0760,9.31,5.33,,0.0,0.0,Normal
0.0800,5.01,4.62,,0.0,0.0,Normal
0.0840,2.70,4.31,,0.0,0.0,Normal
0.0880,2.37,1.24,,0.0,0.0,Normal
0.0920,-0.30,-4.16,,0.0,0.0,Normal
0.0960,-4.03,-7.15,,0.0,0.0,Normal
0.1000,-5.16,-5.31,,0.0,0.0,Normal
0.1040,-3.37,-3.43,,0.0,0.0,Normal
0.1080,-0.12,-3.50,,0.0,0.0,Normal
0.1120,2.38,-1.95,,0.0,0.0,Normal
0.1160,2.86,0.31,,0.0,0.0,Normal
0.1200,0.94,1.70,,0.0,0.0,Normal
0.1240,0.25,2.64,,0.0,0.0,Normal
0.1280,4.75,3.39,,0.0,0.0,Normal
0.1320,8.52,3.40,,0.0,0.0,Normal
0.1360,4.98,1.33,,0.0,0.0,Normal
0.1400,-0.76,-0.49,,0.0,0.0,Normal
0.1440,-1.03,-1.00,,0.0,0.0,Normal
0.1480,1.61,-1.65,,0.0,0.0,Normal
0.1520,1.41,-1.84,,0.0,0.0,Normal
0.1560,0.48,-0.80,,0.0,0.0,Normal
0.1600,1.12,1.62,,0.0,0.0,Normal
0.1640,0.53,1.83,,0.0,0.0,Normal
0.1680,-0.08,-0.25,,0.0,0.0,Normal
0.1720,1.56,0.10,,0.0,0.0,Normal
