# SampleRate: 250
# Created: 2026-06-09T14:55:33
Time,CH1,CH2,Marker,Valence,Arousal,TaskLabel
0.0000,5.41,7.94,,0.0,0.0,Normal
0.0040,4.24,6.28,,0.0,0.0,Normal
0.0080,3.48,1.61,,0.0,0.0,Normal
0.0120,6.46,1.73,,0.0,0.0,Normal
0.0160,7.96,6.97,,0.0,0.0,Normal
0.0200,6.36,10.82,,0.0,0.0,Normal
0.0240,6.29,10.89,,0.0,0.0,Normal
0.0280,7.98,9.11,,0.0,0.0,Normal
0.0320,8.18,8.41,,0.0,0.0,Normal
0.0360,5.93,8.80,,0.0,0.0,Normal
0.0400,0.90,6.41,,0.0,0.0,Normal
0.0440,-1.74,3.83,,0.0,0.0,Normal
0.0480,4.92,6.20,,0.0,0.0,Normal
0.0520,12.92,10.15,,0.0,0.0,Normal
0.0560,10.45,9.82,,0.0,0.0,Normal
0.0600,2.45,6.18,,0.0,0.0,Normal
0.0640,-0.57,3.35,,0.0,0.0,Normal
0.0680,-0.18,1.06,,0.0,0.0,Normal
0.0720,-3.47,-0.31,,0.0,0.0,Normal
0.0760,-6.38,1.68,,0.0,0.0,Normal
0.0800,-1.88,5.32,,0.0,0.0,Normal
0.0840,3.13,6.01,,0.0,0.0,Normal
0.0880,1.11,1.81,,0.0,0.0,Normal
0.0920,-2.93,-1.43,,0.0,0.0,Normal
0.0960,-2.86,0.95,,0.0,0.0,Normal
0.1000,1.79,3.92,,0.0,0.0,Normal
0.1040,6.30,2.54,,0.0,0.0,Normal
0.1080,3.60,-1.75,,0.0,0.0,Normal
0.1120,-3.43,-4.33,,0.0,0.0,Normal
0.1160,-5.19,-4.10,,0.0,0.0,Normal
0.1200,-1.56,-2.38,,0.0,0.0,Normal
0.1240,1.79,-1.04,,0.0,0.0,Normal
0.1280,1.24,-3.96,,0.0,0.0,Normal
0.1320,-2.35,-6.71,,0.0,0.0,Normal
0.1360,-2.46,-2.66,,0.0,0.0,Normal
0.1400,2.07,2.02,,0.0,0.0,Normal
0.1440,4.74,0.40,,0.0,0.0,Normal
0.1480,2.39,-3.60,,0.0,0.0,Normal
0.1520,-1.55,-3.20,,0.0,0.0,Normal
0.1560,-0.49,0.97,,0.0,0.0,Normal
0.1600,4.13,3.38,,0.0,0.0,Normal
0.1640,4.38,1.27,,0.0,0.0,Normal
0.1680,-0.02,-2.45,,0.0,0.0,Normal
0.1720,-4.58,-1.74,,0.0,0.0,Normal
0.1760,-4.54,2.40,,0.0,0.0,Normal
0.1800,0.64,3.96,,0.0,0.0,Normal
0.1840,3.87,1.65,,0.0,0.0,Normal
0.1880,3.38,-1.97,,0.0,0.0,Normal
0.1920,2.28,-1.87,,0.0,0.0,Normal
0.1960,0.15,1.56,,0.0,0.0,Normal
0.2000,-1.37,1.64,,0.0,0.0,Normal
0.2040,0.11,-1.17,,0.0,0.0,Normal
0.2080,2.33,-1.66,,0.0,0.0,Normal
0.2120,3.56,0.73,,0.0,0.0,Normal
0.2160,3.75,2.25,,0.0,0.0,Normal
0.2200,2.02,1.22,,0.0,0.0,Normal
0.2240,2.90,0.09,,0.0,0.0,Normal
0.2280,7.07,-0.65,,0.0,0.0,Normal
0.2320,4.56,-2.57,,0.0,0.0,Normal
