# SampleRate: 250
# Created: 2026-06-09T15:06:14
Time,CH1,CH2,Marker,Valence,Arousal,TaskLabel
0.0000,-5.70,-2.20,,0.0,0.0,Normal
0.0040,-4.16,-5.50,,0.0,0.0,Normal
0.0080,-3.09,-6.49,,0.0,0.0,Normal
0.0120,-1.77,-4.06,,0.0,0.0,Normal
0.0160,-2.97,-1.75,,0.0,0.0,Normal
0.0200,-8.54,-3.79,,0.0,0.0,Normal
0.0240,-12.21,-7.72,,0.0,0.0,Normal
0.0280,-10.73,-8.86,,0.0,0.0,Normal
0.0320,-10.72,-7.67,,0.0,0.0,Normal
0.0360,-13.92,-6.79,,0.0,0.0,Normal
0.0400,-13.77,-7.39,,0.0,0.0,Normal
0.0440,-10.64,-9.41,,0.0,0.0,Normal
0.0480,-10.69,-11.11,,0.0,0.0,Normal
0.0520,-14.71,-9.93,,0.0,0.0,Normal
0.0560,-15.44,-6.42,,0.0,0.0,Normal
0.0600,-6.57,-3.20,,0.0,0.0,Normal
0.0640,3.45,-1.39,,0.0,0.0,Normal
0.0680,4.46,-0.20,,0.0,0.0,Normal
0.0720,2.12,1.81,,0.0,0.0,Normal
0.0760,1.75,3.03,,0.0,0.0,Normal
0.0800,0.23,1.11,,0.0,0.0,Normal
0.0840,-1.34,-2.18,,0.0,0.0,Normal
0.0880,-0.69,-3.02,,0.0,0.0,Normal
0.0920,-0.43,0.47,,0.0,0.0,Normal
0.0960,-2.66,4.21,,0.0,0.0,Normal
0.1000,-6.08,3.90,,0.0,0.0,Normal
0.1040,-6.27,2.86,,0.0,0.0,Normal
0.1080,-1.56,4.11,,0.0,0.0,Normal
0.1120,1.04,5.56,,0.0,0.0,Normal
0.1160,-1.61,5.72,,0.0,0.0,Normal
0.1200,-2.83,5.12,,0.0,0.0,Normal
0.1240,0.41,4.57,,0.0,0.0,Normal
0.1280,5.88,5.54,,0.0,0.0,Normal
0.1320,10.57,9.00,,0.0,0.0,Normal
0.1360,12.04,11.71,,0.0,0.0,Normal
0.1400,11.20,10.15,,0.0,0.0,Normal
0.1440,9.19,5.82,,0.0,0.0,Normal
0.1480,7.10,2.75,,0.0,0.0,Normal
0.1520,7.38,3.84,,0.0,0.0,Normal
0.1560,8.65,5.93,,0.0,0.0,Normal
0.1600,7.33,3.53,,0.0,0.0,Normal
0.1640,5.40,-1.21,,0.0,0.0,Normal
0.1680,5.26,-2.83,,0.0,0.0,Normal
0.1720,4.67,-0.04,,0.0,0.0,Normal
0.1760,3.18,2.83,,0.0,0.0,Normal
0.1800,2.05,0.83,,0.0,0.0,Normal
0.1840,2.44,-2.15,,0.0,0.0,Normal
0.1880,5.21,-0.08,,0.0,0.0,Normal
0.1920,7.75,4.11,,0.0,0.0,Normal
0.1960,8.45,5.32,,0.0,0.0,Normal
0.2000,8.22,3.56,,0.0,0.0,Normal
0.2040,7.77,0.83,,0.0,0.0,Normal
0.2080,8.00,-1.03,,0.0,0.0,Normal
0.2120,7.55,0.39,,0.0,0.0,Normal
0.2160,6.23,4.52,,0.0,0.0,Normal
0.2200,7.52,7.50,,0.0,0.0,Normal
0.2240,11.14,7.75,,0.0,0.0,Normal
0.2280,12.21,6.59,,0.0,0.0,Normal
0.2320,9.43,6.50,,0.0,0.0,Normal
0.2360,7.36,7.76,,0.0,0.0,Normal
0.2400,8.04,6.65,,0.0,0.0,Normal
0.2440,8.68,3.16,,0.0,0.0,Normal
0.2480,8.31,2.60,,0.0,0.0,Normal
0.2520,7.58,5.00,,0.0,0.0,Normal
0.2560,6.23,5.56,,0.0,0.0,Normal
0.2600,4.09,2.49,,0.0,0.0,Normal
0.2640,3.58,-1.69,,0.0,0.0,Normal
0.2680,6.00,-1.98,,0.0,0.0,Normal
0.2720,6.20,1.56,,0.0,0.0,Normal
0.2760,2.68,2.41,,0.0,0.0,Normal
0.2800,0.57,-0.47,,0.0,0.0,Normal
0.2840,1.12,-2.23,,0.0,0.0,Normal
0.2880,2.21,-1.36,,0.0,0.0,Normal
0.2920,2.95,0.47,,0.0,0.0,Normal
0.2960,2.46,0.58,,0.0,0.0,Normal
0.3000,-0.17,-2.42,,0.0,0.0,Normal
0.3040,-1.75,-6.01,,0.0,0.0,Normal
0.3080,-0.64,-7.18,,0.0,0.0,Normal
0.3120,-1.48,-5.75,,0.0,0.0,Normal
0.3160,-4.24,-4.96,,0.0,0.0,Normal
0.3200,-6.80,-7.99,,0.0,0.0,Normal
0.3240,-9.75,-12.47,,0.0,0.0,Normal
0.3280,-10.94,-13.49,,0.0,0.0,Normal
0.3320,-11.09,-11.16,,0.0,0.0,Normal
0.3360,-12.75,-10.49,,0.0,0.0,Normal
0.3400,-13.19,-12.47,,0.0,0.0,Normal
0.3440,-10.48,-13.18,,0.0,0.0,Normal
0.3480,-8.55,-11.69,,0.0,0.0,Normal
0.3520,-9.11,-8.90,,0.0,0.0,Normal
0.3560,-7.27,-5.61,,0.0,0.0,Normal
0.3600,-3.80,-4.75,,0.0,0.0,Normal
0.3640,-2.45,-5.65,,0.0,0.0,Normal
0.3680,0.19,-2.62,,0.0,0.0,Normal
0.3720,2.97,3.42,,0.0,0.0,Normal
0.3760,0.45,5.04,,0.0,0.0,Normal
0.3800,-2.37,2.97,,0.0,0.0,Normal
0.3840,1.81,2.18,,0.0,0.0,Normal
0.3880,6.22,2.17,,0.0,0.0,Normal
0.3920,2.67,2.89,,0.0,0.0,Normal
0.3960,-1.34,4.22,,0.0,0.0,Normal
0.4000,-0.28,3.30,,0.0,0.0,Normal
0.4040,1.89,1.11,,0.0,0.0,Normal
0.4080,4.10,2.18,,0.0,0.0,Normal
0.4120,5.13,6.57,,0.0,0.0,Normal
0.4160,5.45,8.97,,0.0,0.0,Normal
0.4200,7.35,7.87,,0.0,0.0,Normal
0.4240,8.24,6.56,,0.0,0.0,Normal
0.4280,7.48,6.65,,0.0,0.0,Normal
0.4320,7.60,8.02,,0.0,0.0,Normal
0.4360,7.16,8.54,,0.0,0.0,Normal
0.4400,4.79,6.33,,0.0,0.0,Normal
0.4440,4.56,4.15,,0.0,0.0,Normal
0.4480,7.14,5.12,,0.0,0.0,Normal
0.4520,6.48,6.85,,0.0,0.0,Normal
0.4560,2.83,6.30,,0.0,0.0,Normal
0.4600,1.19,5.43,,0.0,0.0,Normal
0.4640,1.01,4.38,,0.0,0.0,Normal
0.4680,0.58,2.75,,0.0,0.0,Normal
0.4720,-0.28,3.79,,0.0,0.0,Normal
0.4760,-2.31,4.98,,0.0,0.0,Normal
0.4800,-4.48,1.78,,0.0,0.0,Normal
0.4840,-4.62,-2.30,,0.0,0.0,Normal
0.4880,-3.66,-2.30,,0.0,0.0,Normal
0.4920,-3.93,1.09,,0.0,0.0,Normal
0.4960,-5.50,2.41,,0.0,0.0,Normal
0.5000,-7.41,-0.71,,0.0,0.0,Normal
0.5040,-7.88,-4.13,,0.0,0.0,Normal
0.5080,-7.01,-4.72,,0.0,0.0,Normal
0.5120,-7.96,-3.74,,0.0,0.0,Normal
0.5160,-10.17,-3.86,,0.0,0.0,Normal
0.5200,-11.18,-5.96,,0.0,0.0,Normal
0.5240,-10.69,-7.64,,0.0,0.0,Normal
0.5280,-8.41,-5.74,,0.0,0.0,Normal
0.5320,-6.56,-2.07,,0.0,0.0,Normal
0.5360,-8.24,-1.50,,0.0,0.0,Normal
0.5400,-10.24,-3.12,,0.0,0.0,Normal
0.5440,-7.88,-4.14,,0.0,0.0,Normal
0.5480,-4.45,-4.92,,0.0,0.0,Normal
0.5520,-3.78,-3.57,,0.0,0.0,Normal
0.5560,-4.05,-0.35,,0.0,0.0,Normal
0.5600,-4.62,-0.22,,0.0,0.0,Normal
0.5640,-4.53,-2.95,,0.0,0.0,Normal
0.5680,-3.25,-3.55,,0.0,0.0,Normal
0.5720,-2.99,-0.89,,0.0,0.0,Normal
0.5760,-2.09,2.06,,0.0,0.0,Normal
0.5800,0.19,2.93,,0.0,0.0,Normal
0.5840,0.76,1.13,,0.0,0.0,Normal
0.5880,-1.24,-1.39,,0.0,0.0,Normal
0.5920,-4.66,-1.18,,0.0,0.0,Normal
0.5960,-6.38,0.31,,0.0,0.0,Normal
0.6000,-4.68,-0.03,,0.0,0.0,Normal
0.6040,-1.83,-1.26,,0.0,0.0,Normal
0.6080,-0.83,-2.16,,0.0,0.0,Normal
0.6120,-2.27,-1.12,,0.0,0.0,Normal
0.6160,-2.72,2.28,,0.0,0.0,Normal
0.6200,-1.33,3.28,,0.0,0.0,Normal
0.6240,0.32,0.54,,0.0,0.0,Normal
0.6280,2.07,-0.04,,0.0,0.0,Normal
0.6320,0.59,2.16,,0.0,0.0,Normal
0.6360,-5.06,1.26,,0.0,0.0,Normal
0.6400,-7.48,-1.76,,0.0,0.0,Normal
0.6440,-1.13,-1.67,,0.0,0.0,Normal
0.6480,7.47,1.71,,0.0,0.0,Normal
0.6520,8.77,6.21,,0.0,0.0,Normal
0.6560,4.16,7.72,,0.0,0.0,Normal
0.6600,2.70,4.41,,0.0,0.0,Normal
0.6640,6.95,0.95,,0.0,0.0,Normal
0.6680,6.42,-1.03,,0.0,0.0,Normal
0.6720,-1.59,-2.87,,0.0,0.0,Normal
0.6760,-3.86,-1.86,,0.0,0.0,Normal
0.6800,-0.94,0.18,,0.0,0.0,Normal
0.6840,-1.91,-2.66,,0.0,0.0,Normal
0.6880,-2.12,-5.43,,0.0,0.0,Normal
0.6920,-0.05,-1.79,,0.0,0.0,Normal
0.6960,-1.84,0.05,,0.0,0.0,Normal
0.7000,-5.61,-5.45,,0.0,0.0,Normal
0.7040,-5.51,-10.22,,0.0,0.0,Normal
0.7080,-4.23,-10.21,,0.0,0.0,Normal
0.7120,-6.38,-9.08,,0.0,0.0,Normal
0.7160,-9.06,-8.18,,0.0,0.0,Normal
0.7200,-9.95,-8.70,,0.0,0.0,Normal
0.7240,-7.98,-12.04,,0.0,0.0,Normal
0.7280,-5.07,-14.51,,0.0,0.0,Normal
0.7320,-8.52,-13.61,,0.0,0.0,Normal
0.7360,-14.07,-12.20,,0.0,0.0,Normal
0.7400,-13.64,-13.11,,0.0,0.0,Normal
0.7440,-11.32,-16.67,,0.0,0.0,Normal
0.7480,-9.06,-16.17,,0.0,0.0,Normal
0.7520,-5.93,-7.52,,0.0,0.0,Normal
0.7560,-8.07,-3.21,,0.0,0.0,Normal
0.7600,-16.83,-10.70,,0.0,0.0,Normal
0.7640,-19.89,-17.61,,0.0,0.0,Normal
0.7680,-14.55,-15.80,,0.0,0.0,Normal
0.7720,-12.78,-10.64,,0.0,0.0,Normal
0.7760,-11.20,-5.44,,0.0,0.0,Normal
0.7800,-5.72,-4.23,,0.0,0.0,Normal
0.7840,-7.01,-12.78,,0.0,0.0,Normal
0.7880,-10.71,-19.03,,0.0,0.0,Normal
0.7920,-7.96,-10.14,,0.0,0.0,Normal
0.7960,-6.43,-1.26,,0.0,0.0,Normal
0.8000,-8.23,-5.09,,0.0,0.0,Normal
0.8040,-6.72,-11.61,,0.0,0.0,Normal
0.8080,-4.57,-13.20,,0.0,0.0,Normal
0.8120,-6.30,-10.37,,0.0,0.0,Normal
0.8160,-8.19,-6.51,,0.0,0.0,Normal
0.8200,-7.20,-7.56,,0.0,0.0,Normal
0.8240,-3.97,-12.05,,0.0,0.0,Normal
0.8280,-0.06,-11.13,,0.0,0.0,Normal
0.8320,0.04,-4.66,,0.0,0.0,Normal
0.8360,-6.60,-5.23,,0.0,0.0,Normal
0.8400,-12.62,-15.38,,0.0,0.0,Normal
0.8440,-9.74,-21.32,,0.0,0.0,Normal
0.8480,-5.62,-18.17,,0.0,0.0,Normal
0.8520,-8.31,-12.02,,0.0,0.0,Normal
0.8560,-11.44,-8.37,,0.0,0.0,Normal
0.8600,-11.75,-12.60,,0.0,0.0,Normal
0.8640,-9.36,-19.84,,0.0,0.0,Normal
0.8680,-4.75,-17.60,,0.0,0.0,Normal
0.8720,-4.43,-7.45,,0.0,0.0,Normal
0.8760,-6.51,-0.62,,0.0,0.0,Normal
0.8800,-5.86,-2.65,,0.0,0.0,Normal
0.8840,-6.02,-12.01,,0.0,0.0,Normal
0.8880,-6.90,-17.45,,0.0,0.0,Normal
0.8920,-8.38,-11.71,,0.0,0.0,Normal
0.8960,-12.72,-5.83,,0.0,0.0,Normal
0.9000,-14.05,-8.40,,0.0,0.0,Normal
0.9040,-9.57,-15.25,,0.0,0.0,Normal
0.9080,-8.80,-20.23,,0.0,0.0,Normal
0.9120,-15.50,-18.37,,0.0,0.0,Normal
0.9160,-20.88,-13.33,,0.0,0.0,Normal
0.9200,-21.48,-14.28,,0.0,0.0,Normal
0.9240,-19.54,-20.15,,0.0,0.0,Normal
0.9280,-13.23,-20.56,,0.0,0.0,Normal
0.9320,-5.28,-10.55,,0.0,0.0,Normal
0.9360,-5.42,-3.37,,0.0,0.0,Normal
0.9400,-12.63,-10.90,,0.0,0.0,Normal
0.9440,-11.60,-18.52,,0.0,0.0,Normal
0.9480,-3.40,-13.80,,0.0,0.0,Normal
0.9520,-3.34,-4.40,,0.0,0.0,Normal
0.9560,-4.69,5.51,,0.0,0.0,Normal
0.9600,3.66,11.37,,0.0,0.0,Normal
0.9640,13.52,7.66,,0.0,0.0,Normal
0.9680,16.70,5.86,,0.0,0.0,Normal
0.9720,15.06,14.73,,0.0,0.0,Normal
0.9760,15.39,23.74,,0.0,0.0,Normal
0.9800,20.44,22.58,,0.0,0.0,Normal
0.9840,24.26,13.42,,0.0,0.0,Normal
0.9880,23.75,9.17,,0.0,0.0,Normal
0.9920,22.36,17.21,,0.0,0.0,Normal
0.9960,20.27,24.82,,0.0,0.0,Normal
1.0000,18.68,21.82,,0.0,0.0,Normal
1.0040,22.74,15.27,,0.0,0.0,Normal
1.0080,25.75,12.99,,0.0,0.0,Normal
1.0120,20.63,18.31,,0.0,0.0,Normal
1.0160,18.10,27.71,,0.0,0.0,Normal
1.0200,23.12,28.31,,0.0,0.0,Normal
1.0240,27.31,17.87,,0.0,0.0,Normal
1.0280,28.07,13.73,,0.0,0.0,Normal
1.0320,25.18,22.79,,0.0,0.0,Normal
1.0360,18.15,28.74,,0.0,0.0,Normal
1.0400,13.92,22.06,,0.0,0.0,Normal
1.0440,15.31,10.22,,0.0,0.0,Normal
1.0480,14.09,5.05,,0.0,0.0,Normal
1.0520,7.13,11.58,,0.0,0.0,Normal
1.0560,1.93,17.91,,0.0,0.0,Normal
1.0600,3.48,13.23,,0.0,0.0,Normal
1.0640,7.06,4.21,,0.0,0.0,Normal
1.0680,6.09,1.35,,0.0,0.0,Normal
1.0720,1.97,8.18,,0.0,0.0,Normal
1.0760,-0.53,15.12,,0.0,0.0,Normal
1.0800,0.34,11.13,,0.0,0.0,Normal
1.0840,4.23,3.10,,0.0,0.0,Normal
1.0880,5.38,1.74,,0.0,0.0,Normal
1.0920,0.01,5.72,,0.0,0.0,Normal
1.0960,-3.60,10.53,,0.0,0.0,Normal
1.1000,0.63,11.17,,0.0,0.0,Normal
1.1040,5.80,3.80,,0.0,0.0,Normal
1.1080,5.72,-0.82,,0.0,0.0,Normal
1.1120,1.15,6.28,,0.0,0.0,Normal
1.1160,-5.34,11.92,,0.0,0.0,Normal
1.1200,-4.28,9.36,,0.0,0.0,Normal
1.1240,7.90,8.14,,0.0,0.0,Normal
1.1280,13.56,11.18,,0.0,0.0,Normal
1.1320,6.82,16.84,,0.0,0.0,Normal
1.1360,5.56,23.16,,0.0,0.0,Normal
1.1400,15.08,25.48,,0.0,0.0,Normal
1.1440,25.92,23.67,,0.0,0.0,Normal
1.1480,30.75,24.25,,0.0,0.0,Normal
1.1520,26.38,30.22,,0.0,0.0,Normal
1.1560,20.77,35.16,,0.0,0.0,Normal
1.1600,23.57,32.65,,0.0,0.0,Normal
1.1640,31.29,26.95,,0.0,0.0,Normal
1.1680,36.29,29.33,,0.0,0.0,Normal
1.1720,35.98,40.81,,0.0,0.0,Normal
1.1760,32.88,48.04,,0.0,0.0,Normal
1.1800,31.88,43.92,,0.0,0.0,Normal
1.1840,34.56,35.59,,0.0,0.0,Normal
1.1880,34.47,32.71,,0.0,0.0,Normal
1.1920,27.01,38.07,,0.0,0.0,Normal
1.1960,19.93,42.84,,0.0,0.0,Normal
1.2000,19.30,37.52,,0.0,0.0,Normal
1.2040,20.21,25.49,,0.0,0.0,Normal
1.2080,17.51,18.21,,0.0,0.0,Normal
1.2120,10.89,21.28,,0.0,0.0,Normal
1.2160,2.97,24.02,,0.0,0.0,Normal
1.2200,-1.09,15.25,,0.0,0.0,Normal
1.2240,0.11,2.80,,0.0,0.0,Normal
1.2280,0.53,0.18,,0.0,0.0,Normal
1.2320,-2.16,7.85,,0.0,0.0,Normal
1.2360,-3.74,13.05,,0.0,0.0,Normal
1.2400,-3.05,6.13,,0.0,0.0,Normal
1.2440,-3.01,-5.90,,0.0,0.0,Normal
1.2480,-5.76,-9.60,,0.0,0.0,Normal
1.2520,-9.42,-3.59,,0.0,0.0,Normal
1.2560,-9.52,1.66,,0.0,0.0,Normal
1.2600,-4.57,0.03,,0.0,0.0,Normal
1.2640,1.88,-3.78,,0.0,0.0,Normal
